,256,512,1024,2048,4096
CPU,35,152,665,2650,10703
GPU,55,73,113,270,350
Speedup,0.636363636,2.082191781,5.884955752,9.814814815,30.58
,,,,,
NSIGHT,27,52,101,197,392
Speedup,1.296296296,2.923076923,6.584158416,13.45177665,27.30357143
,,,,,
Global Loads,4096,16384,65536,262144,1048576
